Time,open,high,low,close
2024-12-20,13.855,22.795,13.665,19.885
2024-12-21,19.715,20.725,16.165,16.495
2024-12-23,13.945,16.875,12.915,15.465
2024-12-24,15.455,16.905,12.685,16.885
2024-12-26,14.935,18.505,14.585,18.245
2024-12-27,18.125,20.325,13.225,15.345
2024-12-28,15.325,16.145,14.035,14.525
2024-12-30,15.215,15.215,10.925,12.845
2024-12-31,12.805,14.565,10.915,13.815
2025-01-01,13.845,14.485,13.825,14.185
2025-01-02,14.185,14.505,11.195,13.155
2025-01-03,13.215,16.015,12.425,13.685
2025-01-04,13.685,13.965,12.055,12.615
2025-01-05,12.345,12.345,12.345,12.345
2025-01-06,12.045,14.515,8.805,10.905
2025-01-07,10.875,14.385,9.565,14.155
2025-01-08,14.175,17.055,12.085,16.355
2025-01-09,16.115,20.935,15.065,20.865
2025-01-10,20.875,41.125,20.875,30.295
2025-01-11,30.025,30.025,25.365,26.725
2025-01-12,25.615,25.615,25.615,25.615
2025-01-13,25.615,30.815,15.605,18.195
2025-01-14,18.185,18.745,10.315,13.145
2025-01-15,13.205,24.785,12.935,23.995
2025-01-16,23.985,31.395,22.995,29.645
2025-01-17,25.855,43.995,25.105,38.655
2025-01-18,38.615,38.615,35.955,37.265
2025-01-19,37.115,37.115,37.115,37.115
2025-01-20,41.925,43.365,11.445,17.835
2025-01-21,18.925,19.215,7.795,14.645
2025-01-22,14.305,40.405,8.655,38.025
2025-01-23,11.455,38.655,4.295,8.305
2025-01-24,35.455,36.095,1.665,34.805
2025-01-25,12.585,35.385,12.575,34.025
2025-01-26,34.045,34.045,34.045,34.045
2025-01-27,32.295,32.565,29.05,29.78
2025-01-28,29.61,36.59,28.78,34.39
2025-01-29,34.74,44.78,33.33,41.53
2025-01-30,41.5,56.53,34.82,51.12
2025-01-31,51.01,60.59,20.38,34.31
2025-02-02,32.93,32.93,32.93,32.93
2025-02-03,31.53,45.85,25.64,39.38
2025-02-04,39.25,40.84,24.54,30.3
2025-02-05,30.06,31.9,17.91,19.28
2025-02-06,19.53,24.87,11.44,23.62
2025-02-07,23.69,26.8,20.17,24.26
2025-02-08,23.92,26.24,23.79,25.17
2025-02-09,25.15,25.15,25.15,25.15
2025-02-10,29.37,29.89,22.77,29.79
2025-02-11,29.75,34.72,23.16,29.23
2025-02-12,29.3,30.11,21.68,23.94
2025-02-13,23.83,29.53,22.99,28.35
2025-02-14,28.31,31.4,11.06,13.95
2025-02-15,13.52,14.23,10.6,10.77
2025-02-16,10.78,10.78,10.78,10.78
2025-02-17,8.65,13.53,5.46,11.31
2025-02-18,11.31,19.37,10.95,18.71
2025-02-19,18.69,19.73,14.9,15.36
2025-02-20,15.28,18.77,14.51,15.95
2025-02-21,15.88,17.3,12.88,13.82
2025-02-22,14.06,14.58,12.95,13.94
2025-02-23,13.95,13.95,13.95,13.95
2025-02-24,14.26,17.32,11.38,14.78
2025-02-25,14.8,16.83,9.51,11.83
2025-02-26,11.86,15.17,10.13,14.95
2025-02-27,14.83,15.53,10.29,11.15
2025-02-28,10.89,13.25,9.42,9.55
2025-03-01,9.58,11.0,8.67,9.38
