Time,open,high,low,close
2024-12-20 17:00:00,13.855,15.595,13.665,15.185
2024-12-20 18:00:00,15.165,18.195,14.945,16.625
2024-12-20 19:00:00,16.665,21.875,16.665,21.705
2024-12-20 20:00:00,21.585,22.795,18.195,18.375
2024-12-20 21:00:00,18.415,19.225,17.885,18.975
2024-12-20 22:00:00,18.915,21.895,18.915,21.155
2024-12-20 23:00:00,21.035,21.085,19.115,19.885
2024-12-21 00:00:00,19.715,20.725,19.315,19.655
2024-12-21 01:00:00,19.555,19.555,16.165,16.655
2024-12-21 02:00:00,16.495,16.495,16.495,16.495
2024-12-23 12:00:00,13.945,14.005,13.875,14.005
2024-12-23 13:00:00,13.875,14.115,13.065,13.855
2024-12-23 14:00:00,13.925,14.585,13.825,14.375
2024-12-23 15:00:00,14.315,14.855,13.535,13.535
2024-12-23 16:00:00,13.565,14.025,13.155,13.925
2024-12-23 17:00:00,14.015,14.045,13.235,13.605
2024-12-23 18:00:00,13.545,14.185,12.915,14.005
2024-12-23 19:00:00,14.145,14.795,14.075,14.515
2024-12-23 20:00:00,14.605,15.985,14.605,15.985
2024-12-23 21:00:00,15.865,16.875,15.615,16.685
2024-12-23 22:00:00,16.795,16.825,16.095,16.485
2024-12-23 23:00:00,16.395,16.405,15.365,15.465
2024-12-24 00:00:00,15.455,15.645,15.285,15.285
2024-12-24 01:00:00,15.345,16.755,15.195,16.755
2024-12-24 03:00:00,15.535,15.535,14.295,14.465
2024-12-24 11:00:00,12.695,13.175,12.685,13.175
2024-12-24 12:00:00,13.255,14.645,13.255,14.645
2024-12-24 13:00:00,14.605,15.515,14.185,14.185
2024-12-24 14:00:00,14.105,14.615,13.705,14.585
2024-12-24 15:00:00,14.615,14.725,13.735,14.105
2024-12-24 16:00:00,14.055,15.045,13.825,14.675
2024-12-24 17:00:00,14.635,14.915,13.675,13.875
2024-12-24 18:00:00,13.935,15.115,13.925,13.925
2024-12-24 19:00:00,13.925,14.605,13.505,14.605
2024-12-24 20:00:00,14.645,15.225,14.585,15.185
2024-12-24 21:00:00,15.195,16.905,15.175,16.885
2024-12-26 14:00:00,14.935,15.245,14.935,15.245
2024-12-26 15:00:00,15.245,16.245,15.145,15.725
2024-12-26 16:00:00,15.725,15.805,14.585,15.135
2024-12-26 17:00:00,15.555,17.545,15.425,15.645
2024-12-26 18:00:00,15.735,16.215,15.485,15.995
2024-12-26 19:00:00,16.005,16.915,16.005,16.095
2024-12-26 20:00:00,16.155,16.525,15.865,16.525
2024-12-26 21:00:00,16.585,17.545,16.505,17.465
2024-12-26 22:00:00,17.335,18.505,17.305,18.455
2024-12-26 23:00:00,18.375,18.415,18.075,18.245
2024-12-27 00:00:00,18.125,20.325,18.095,20.315
2024-12-27 01:00:00,20.205,20.205,18.625,18.755
2024-12-27 03:00:00,19.275,20.265,19.025,19.775
2024-12-27 04:00:00,19.825,19.925,19.445,19.635
2024-12-27 05:00:00,19.715,19.715,18.145,18.145
2024-12-27 06:00:00,18.165,18.295,17.425,17.895
2024-12-27 07:00:00,18.055,18.785,17.895,18.555
2024-12-27 08:00:00,18.335,18.505,16.605,16.615
2024-12-27 09:00:00,16.605,16.715,15.635,15.635
2024-12-27 10:00:00,15.815,15.815,14.375,14.525
2024-12-27 11:00:00,14.475,15.205,13.525,14.885
2024-12-27 12:00:00,14.955,15.105,14.285,14.305
2024-12-27 13:00:00,14.255,14.715,14.235,14.495
2024-12-27 14:00:00,14.375,14.955,14.285,14.785
2024-12-27 15:00:00,14.755,15.315,14.585,15.125
2024-12-27 16:00:00,15.145,15.515,14.465,15.025
2024-12-27 17:00:00,15.055,15.335,13.415,14.375
2024-12-27 18:00:00,14.365,14.465,13.225,13.795
2024-12-27 19:00:00,13.775,15.175,13.775,15.035
2024-12-27 20:00:00,14.965,15.575,14.965,15.335
2024-12-27 21:00:00,15.375,15.375,14.365,14.555
2024-12-27 22:00:00,14.395,15.205,14.395,15.185
2024-12-27 23:00:00,15.215,15.445,15.155,15.345
2024-12-28 00:00:00,15.325,15.885,15.045,15.885
2024-12-28 01:00:00,15.885,16.145,14.035,14.525
2024-12-30 03:00:00,15.215,15.215,13.515,14.215
2024-12-30 04:00:00,13.715,14.495,13.465,13.635
2024-12-30 05:00:00,14.015,14.015,12.895,13.085
2024-12-30 06:00:00,13.085,13.195,12.405,12.515
2024-12-30 07:00:00,12.355,12.975,11.965,12.955
2024-12-30 08:00:00,13.035,13.285,12.295,12.405
2024-12-30 09:00:00,12.305,12.355,11.185,11.395
2024-12-30 10:00:00,11.545,12.075,11.225,11.545
2024-12-30 11:00:00,11.555,11.785,11.025,11.725
2024-12-30 12:00:00,11.605,12.235,11.445,11.445
2024-12-30 13:00:00,11.465,12.395,11.185,11.485
2024-12-30 14:00:00,11.655,12.515,11.195,12.235
2024-12-30 15:00:00,12.335,12.955,12.155,12.615
2024-12-30 16:00:00,12.595,13.295,12.445,13.275
2024-12-30 17:00:00,13.325,13.995,11.275,11.275
2024-12-30 18:00:00,11.195,12.805,10.925,11.955
2024-12-30 19:00:00,11.87,12.645,11.395,11.805
2024-12-30 20:00:00,11.755,12.705,11.755,11.835
2024-12-30 21:00:00,11.945,13.155,11.945,12.885
2024-12-30 22:00:00,12.995,13.125,12.495,12.575
2024-12-30 23:00:00,12.615,12.865,12.505,12.845
2024-12-31 00:00:00,12.805,13.815,12.765,13.815
2024-12-31 01:00:00,13.725,13.835,13.355,13.745
2024-12-31 03:00:00,13.675,13.85,13.075,13.15
2024-12-31 04:00:00,13.255,13.485,12.775,12.895
2024-12-31 05:00:00,12.915,12.915,11.465,11.595
2024-12-31 06:00:00,11.635,12.405,11.565,12.025
2024-12-31 07:00:00,12.015,12.015,11.525,11.695
2024-12-31 08:00:00,11.675,12.075,11.635,12.075
