Time,open,high,low,close
2024-12-20 16:00:00,13.855,21.875,13.665,21.705
2024-12-20 20:00:00,21.585,22.795,17.885,19.885
2024-12-21 00:00:00,19.715,20.725,16.165,16.495
2024-12-23 12:00:00,13.945,14.855,13.065,13.535
2024-12-23 16:00:00,13.565,14.795,12.915,14.515
2024-12-23 20:00:00,14.605,16.875,14.605,15.465
2024-12-24 00:00:00,15.455,16.755,14.295,14.465
2024-12-24 08:00:00,12.695,13.175,12.685,13.175
2024-12-24 12:00:00,13.255,15.515,13.255,14.105
2024-12-24 16:00:00,14.055,15.115,13.505,14.605
2024-12-24 20:00:00,14.645,16.905,14.585,16.885
2024-12-26 12:00:00,14.935,16.245,14.935,15.725
2024-12-26 16:00:00,15.725,17.545,14.585,16.095
2024-12-26 20:00:00,16.155,18.505,15.865,18.245
2024-12-27 00:00:00,18.125,20.325,18.095,19.775
2024-12-27 04:00:00,19.825,19.925,17.425,18.555
2024-12-27 08:00:00,18.335,18.505,13.525,14.885
2024-12-27 12:00:00,14.955,15.315,14.235,15.125
2024-12-27 16:00:00,15.145,15.515,13.225,15.035
2024-12-27 20:00:00,14.965,15.575,14.365,15.345
2024-12-28 00:00:00,15.325,16.145,14.035,14.525
2024-12-30 00:00:00,15.215,15.215,13.515,14.215
2024-12-30 04:00:00,13.715,14.495,11.965,12.955
2024-12-30 08:00:00,13.035,13.285,11.025,11.725
2024-12-30 12:00:00,11.605,12.955,11.185,12.615
2024-12-30 16:00:00,12.595,13.995,10.925,11.805
2024-12-30 20:00:00,11.755,13.155,11.755,12.845
2024-12-31 00:00:00,12.805,13.85,12.765,13.15
2024-12-31 04:00:00,13.255,13.485,11.465,11.695
2024-12-31 08:00:00,11.675,12.295,10.915,11.925
2024-12-31 12:00:00,11.855,12.665,11.455,12.195
2024-12-31 16:00:00,12.185,14.235,11.675,14.215
2024-12-31 20:00:00,14.115,14.565,13.225,13.815
2025-01-01 00:00:00,13.845,14.485,13.825,14.185
2025-01-01 04:00:00,14.185,14.185,14.185,14.185
2025-01-01 08:00:00,14.185,14.185,14.185,14.185
2025-01-01 12:00:00,14.185,14.185,14.185,14.185
2025-01-01 16:00:00,14.185,14.185,14.185,14.185
2025-01-01 20:00:00,14.185,14.185,14.185,14.185
2025-01-02 00:00:00,14.185,14.505,13.055,13.625
2025-01-02 04:00:00,13.915,14.145,11.405,11.465
2025-01-02 08:00:00,11.465,12.385,11.385,11.655
2025-01-02 12:00:00,11.655,12.895,11.195,12.425
2025-01-02 16:00:00,12.575,13.595,11.795,13.285
2025-01-02 20:00:00,13.465,13.745,12.875,13.155
2025-01-03 00:00:00,13.215,13.325,12.425,12.425
