Time,open,high,low,close
2024-12-22,13.855,22.795,13.665,16.495
2024-12-29,13.945,20.325,12.685,14.525
2025-01-05,15.215,16.015,10.915,12.345
2025-01-12,12.045,41.125,8.805,25.615
2025-01-19,25.615,43.995,10.315,37.115
2025-01-26,41.925,43.365,1.665,34.045
2025-02-02,32.295,60.59,20.38,32.93
2025-02-09,31.53,45.85,11.44,25.15
2025-02-16,29.37,34.72,10.6,10.78
2025-02-23,8.65,19.73,5.46,13.95
2025-03-02,14.26,17.32,8.67,9.62
2025-03-09,7.12,12.27,6.06,7.76
2025-03-16,4.9,14.68,4.74,9.56
2025-03-23,8.91,35.93,5.94,30.51
2025-03-30,31.79,44.715,30.65,32.125
2025-04-06,32.695,62.405,16.725,18.245
2025-04-13,16.045,24.515,10.205,17.235
2025-04-20,16.385,17.965,11.335,12.785
2025-04-27,11.765,42.465,6.835,10.205
2025-05-04,10.285,11.675,5.765,7.445
2025-05-11,6.375,9.575,3.215,4.335
2025-05-25,2.905,32.165,2.895,25.865
2025-06-01,26.655,29.015,20.895,23.935
2025-06-08,23.155,25.545,19.175,21.785
2025-06-15,19.745,22.325,18.055,20.525
2025-06-22,19.975,20.455,14.835,15.185
2025-06-29,14.815,16.245,10.095,11.635
2025-07-06,10.325,12.305,8.615,11.255
2025-07-13,7.905,11.735,7.505,11.235
