Time,open,high,low,close
2024-12-20 12:00:00,13.855,22.795,13.665,19.885
2024-12-21 00:00:00,19.715,20.725,16.165,16.495
2024-12-23 12:00:00,13.945,16.875,12.915,15.465
2024-12-24 00:00:00,15.455,16.755,12.685,13.175
2024-12-24 12:00:00,13.255,16.905,13.255,16.885
2024-12-26 12:00:00,14.935,18.505,14.585,18.245
2024-12-27 00:00:00,18.125,20.325,13.525,14.885
2024-12-27 12:00:00,14.955,15.575,13.225,15.345
2024-12-28 00:00:00,15.325,16.145,14.035,14.525
2024-12-30 00:00:00,15.215,15.215,11.025,11.725
2024-12-30 12:00:00,11.605,13.995,10.925,12.845
2024-12-31 00:00:00,12.805,13.85,10.915,11.925
2024-12-31 12:00:00,11.855,14.565,11.455,13.815
2025-01-01 00:00:00,13.845,14.485,13.825,14.185
2025-01-01 12:00:00,14.185,14.185,14.185,14.185
2025-01-02 00:00:00,14.185,14.505,11.385,11.655
2025-01-02 12:00:00,11.655,13.745,11.195,13.155
2025-01-03 00:00:00,13.215,16.015,12.425,15.135
2025-01-03 12:00:00,15.035,15.215,12.885,13.685
2025-01-04 00:00:00,13.685,13.965,12.055,12.615
2025-01-05 00:00:00,12.345,12.345,12.345,12.345
2025-01-06 00:00:00,12.045,12.495,10.675,11.465
2025-01-06 12:00:00,11.495,14.515,8.805,10.905
2025-01-07 00:00:00,10.875,11.765,9.565,11.345
2025-01-07 12:00:00,11.265,14.385,10.715,14.155
2025-01-08 00:00:00,14.175,14.565,12.535,13.625
2025-01-08 12:00:00,13.635,17.055,12.085,16.355
2025-01-09 00:00:00,16.115,18.475,16.105,16.355
2025-01-09 12:00:00,16.235,20.935,15.065,20.865
2025-01-10 00:00:00,20.875,24.695,20.875,23.755
2025-01-10 12:00:00,23.735,41.125,21.975,30.295
2025-01-11 00:00:00,30.025,30.025,25.365,26.725
2025-01-12 00:00:00,25.615,25.615,25.615,25.615
2025-01-12 12:00:00,25.615,25.615,25.615,25.615
2025-01-13 00:00:00,25.615,30.815,22.975,22.975
2025-01-13 12:00:00,22.715,26.975,15.605,18.195
2025-01-14 00:00:00,18.185,18.745,13.495,13.885
2025-01-14 12:00:00,13.885,15.785,10.315,13.145
